vf-min,gmm-log-w-mean,best_single_option_policy/episode-length-max,max-path-return,qf-std,episodes,vf-max,time-sample,bellman-error,gmm-log-sigs-mean,epoch,z-entropy,gmm-log-sigs-min,discriminator_reward-min,gmm-mus-mean,time-train,best_single_option_policy/return-average,log_p_z-max,qf-max,time-eval,policy-reg-loss,gmm-mus-min,gmm-log-sigs-max,last-path-return,discriminator_reward-max,time-total,vf-loss,best_single_option_policy/episode-length-min,gmm-mus-std,log_p_z-avg,kl-surrogate-loss,pool-size,gmm-log-w-min,gmm-mus-max,path-length,gmm-log-w-max,best_single_option_policy/return-std,best_single_option_policy/episode-length-avg,vf-std,qf-avg,log_p_z-min,log_p_z-std,discriminator_reward-avg,best_single_option_policy/return-max,best_single_option_policy/episode-length-std,discriminator_reward-std,qf-min,discriminator-loss,vf-avg,gmm-log-w-std,best_single_option_policy/return-min,gmm-log-sigs-std
-0.6503096,0.025892641,1000,-2.1717471026273993,0.1471632,1,0.1153949,1.0924506513401866,0.07482287,0.015933651,0,3.9120230054281455,-0.45664763,-0.17060089,0.009565827,0.09820166975259781,-19.37310966872169,-3.911973,0.3175606,0,2.4187078e-05,-0.4964115,0.9669359,-2.1717471026273993,0.447505,508.3594527482055,0.029084565,1000,0.15686524,-3.9119723,0.39988258,1000,-0.4158718,0.79385334,1000.0,1.0152804,0.0,1000.0,0.1304672,-0.03501939,-3.911973,7.1525574e-07,0.11894815,-19.37310966872169,0.0,0.14287782,-0.48513925,3.793025,-0.057618868,0.17159948,-19.37310966872169,0.1530427
25.888655,-0.48131365,1000,17.644675837572613,4.1144924,2,43.798416,1.1224230816587806,0.08049157,-0.14111899,1,3.9120230054281455,-1.4429419,1.5775332,-0.12612224,6.662816792260855,-2.0132510366534664,-3.911973,41.492996,0,0.0019832358,-4.542134,1.0439785,17.644675837572613,3.9114523,527.4059510508087,0.050226636,1000,1.9161134,-3.9119723,-0.37086958,2000,-7.052969,4.643833,1000.0,9.202229,0.0,1000.0,4.444856,33.706604,-3.911973,7.1525574e-07,3.6716213,-2.0132510366534664,0.0,0.400472,23.846601,0.24035189,34.209816,2.9949677,-2.0132510366534664,0.50907755
42.17362,-0.73723435,1000,17.644675837572613,10.261238,3,83.76773,1.1111060180701315,0.19832042,-0.26728022,2,3.9120230054281455,-1.4280132,-5.1881237,0.58695805,6.574746874161065,-14.526457229403427,-3.911973,81.60725,11.270217583049089,0.0020470568,-5.5726423,0.5996587,-51.89390890040749,3.911973,546.4857125489507,0.1201292,1000,1.8819618,-3.9119723,-0.08851659,3000,-9.544707,6.568082,1000.0,7.6363063,0.0,1000.0,10.919479,61.163185,-3.911973,7.1525574e-07,3.5834556,-14.526457229403427,0.0,0.9603895,41.67255,0.3285175,61.546402,2.9510667,-14.526457229403427,0.36929014
65.133064,-1.0328518,1000,17.644675837572613,20.112879,4,132.841,1.1086664670147002,0.12193069,-0.2484904,3,3.9120230054281455,-1.0057249,-0.8524928,0.9840821,6.628349426202476,14.276246423290907,-3.911973,130.9129,11.387567379046232,0.0018499218,-3.7841237,0.6781995,-55.241658967819454,3.911939,565.68758033216,0.11731552,1000,1.5970519,-3.9119723,0.20659204,4000,-9.4811125,5.1684914,1000.0,9.434034,0.0,1000.0,21.073235,89.16446,-3.911973,7.1525574e-07,3.5807261,14.276246423290907,0.0,0.5836601,64.34025,0.3312469,89.698074,3.5282817,14.276246423290907,0.3451141
88.979805,-1.3462167,1000,19.194085572661248,24.206287,5,181.09337,1.1482676793821156,0.13828306,-0.29580468,4,3.9120230054281455,-1.1523619,0.7036121,0.5347611,6.79745402536355,31.456716981767816,-3.911973,180.49191,11.473842038074508,0.0013239345,-4.0198417,0.5800984,19.194085572661248,3.911853,585.1352200654801,0.13977847,1000,1.4766146,-3.9119723,0.5448104,5000,-8.817501,4.1520557,1000.0,10.400508,0.0,1000.0,24.990147,121.0165,-3.911973,7.1525574e-07,3.6613278,31.456716981767816,0.0,0.504248,89.87122,0.25064522,121.59987,4.334847,31.456716981767816,0.30660832
104.86013,-1.544216,1000,19.194085572661248,23.74158,6,212.19484,1.1280769200529903,0.1766617,-0.368211,5,3.9120230054281455,-1.4383533,1.4870477,0.3687204,6.668595811119303,35.57459534611839,-3.911973,210.98839,11.493977986043319,0.0013315222,-5.7091513,0.7012407,-13.257125855178472,3.9118955,604.3005394628271,0.21543822,1000,1.508291,-3.9119723,-0.5038595,6000,-10.0,3.4933534,1000.0,11.672317,0.0,1000.0,24.390182,142.6188,-3.911973,7.1525574e-07,3.711813,35.57459534611839,0.0,0.36755243,103.87186,0.2001599,143.17279,4.5556955,35.57459534611839,0.34142068
126.591805,-1.6074162,1000,19.97689908663223,26.012167,7,240.34291,1.1339359988924116,0.19967717,-0.21312433,6,3.9120230054281455,-1.352551,1.6490109,-0.12822504,6.780274101532996,-31.22947344803831,-3.911973,239.00887,11.377650212030858,0.0012379085,-5.130807,0.8049538,19.97689908663223,3.9119139,623.6454432990868,0.11748543,1000,1.5123056,-3.9119723,-0.24284299,7000,-10.0,3.7979023,1000.0,10.377259,0.0,1000.0,26.287891,167.04144,-3.911973,7.1525574e-07,3.6251926,-31.22947344803831,0.0,0.47610876,125.688194,0.28678042,167.62537,4.607791,-31.22947344803831,0.35620907
133.12794,-1.814918,1000,19.97689908663223,30.527563,8,260.4139,1.0673087225295603,0.43657738,-0.2841124,7,3.9120230054281455,-1.8399272,1.7609789,0.073356465,6.567913171602413,12.74584109088697,-3.911973,260.6352,11.42321318294853,0.001278506,-4.573185,0.7249534,-17.09475631340394,3.9119463,642.7013710592873,0.38062906,1000,1.5264176,-3.9119723,0.69005084,8000,-10.0,3.6757739,1000.0,11.9126625,0.0,1000.0,30.594114,186.76596,-3.911973,7.1525574e-07,3.5733087,12.74584109088697,0.0,0.4562877,132.2779,0.3386643,186.70273,4.6605525,12.74584109088697,0.3754466
144.43016,-1.7787383,1000,43.39844161821587,31.405151,9,276.11127,1.0539664283860475,0.35008138,-0.36329463,8,3.9120230054281455,-1.3159132,0.052971125,-0.13122874,6.496529799187556,-83.44701318080212,-3.911973,275.4367,11.428435534937307,0.0013965,-4.7750254,0.6172676,43.39844161821587,3.9119627,661.6710632238537,0.4507848,1000,1.5972687,-3.9119723,0.37999177,9000,-10.0,3.593879,1000.0,11.808228,0.0,1000.0,31.922718,204.4207,-3.911973,7.1525574e-07,3.5438745,-83.44701318080212,0.0,0.5847201,141.55905,0.3680984,204.74316,4.536581,-83.44701318080212,0.30418545
153.94807,-1.928544,1000,43.39844161821587,34.750153,10,292.08185,1.0922404085285962,0.2409299,-0.44668883,9,3.9120230054281455,-1.5560998,0.7551868,0.028574035,6.6841718247160316,-60.26860221307716,-3.911973,293.12704,11.416246346198022,0.0013432492,-4.4091363,0.5957255,-39.003800742720294,3.9119663,681.0155082354322,0.5166769,1000,1.5358964,-3.9119723,0.18262899,10000,-10.0,3.7293675,1000.0,12.730392,0.0,1000.0,34.909065,220.75128,-3.911973,7.1525574e-07,3.4144292,-60.26860221307716,0.0,0.66592586,154.35928,0.49754387,220.75937,4.693955,-60.26860221307716,0.35661328
